caption,source_path,noise_path,input_path,output_path,input_similarity,output_similarity,target_similarity,sisdr,sdri,sdr
The sword slashes through the air.,lass_validation/699930_10996917-hq.wav,lass_validation/683018_10624050-hq.wav,"sword_wave_0/ONE-PEACE_('699930_10996917-hq.wav', '683018_10624050-hq.wav')_input.wav","sword_wave_0/ONE-PEACE_('699930_10996917-hq.wav', '683018_10624050-hq.wav')_output.wav",0.16167559,0.41406494,0.38229728,0.8591360598802567,-11.78441131581178,3.2155876538386705
The sword slices through the air.,lass_validation/699930_10996917-hq.wav,lass_validation/683018_10624050-hq.wav,"sword_wave_2/ONE-PEACE_('699930_10996917-hq.wav', '683018_10624050-hq.wav')_input.wav","sword_wave_2/ONE-PEACE_('699930_10996917-hq.wav', '683018_10624050-hq.wav')_output.wav",0.24267744,0.43514296,0.4560064,27.27238893508911,12.102124477838828,27.10212344748928
The waving sword waves around wavily,lass_validation/699930_10996917-hq.wav,lass_validation/683018_10624050-hq.wav,"sword_wave_6/ONE-PEACE_('699930_10996917-hq.wav', '683018_10624050-hq.wav')_input.wav","sword_wave_6/ONE-PEACE_('699930_10996917-hq.wav', '683018_10624050-hq.wav')_output.wav",0.15841195,0.1367526,0.24336189,-39.09927368164063,-15.075331353183904,-0.0753323835334525
